model_type,model,goal_type,game_type,succeed_count,total_solver_errors,total_solver_fixed,total_simulation_errors,total_simulation_fixed,total_abort_solver,total_abort_simulation,avg_steps_success,avg_steps_failure,trial_count
PDDL,o4-mini-2025-04-16,detailed,7,3,1.0,1.0,1.0,0.0,0.0,1.0,4.666666666666667,6.0,4
PDDL,o4-mini-2025-04-16,detailed,9,4,0.0,0.0,1.0,1.0,0.0,0.0,3.5,,4
PDDL,o4-mini-2025-04-16,detailed,11,4,5.0,5.0,2.0,2.0,0.0,0.0,8.75,,4
PDDL_fixed_df,deepseek,detailed,3,18,3.0,3.0,6.0,4.0,0.0,2.0,1.5555555555555556,2.0,20
PDDL_fixed_df,deepseek,detailed,5,19,13.0,13.0,3.0,2.0,0.0,1.0,2.3684210526315788,3.0,20
PDDL_fixed_df,deepseek,detailed,7,18,7.0,7.0,6.0,4.0,0.0,2.0,4.5,5.0,20
PDDL_fixed_df,deepseek,detailed,9,16,12.0,10.0,5.0,3.0,2.0,2.0,3.3125,4.5,20
PDDL_fixed_df,deepseek,detailed,11,17,13.0,12.0,11.0,9.0,1.0,2.0,5.411764705882353,6.0,20
PDDL_fixed_df,gpt-4.1-2025-04-14,detailed,3,16,24.0,20.0,3.0,3.0,4.0,0.0,1.6875,2.0,20
PDDL_fixed_df,gpt-4.1-2025-04-14,detailed,5,19,9.0,8.0,3.0,3.0,1.0,0.0,2.1578947368421053,1.0,20
PDDL_fixed_df,gpt-4.1-2025-04-14,detailed,7,15,26.0,22.0,1.0,0.0,4.0,1.0,5.066666666666666,1.2,20
PDDL_fixed_df,gpt-4.1-2025-04-14,detailed,9,10,41.0,33.0,9.0,6.0,8.0,3.0,3.5,7.3,20
PDDL_fixed_df,gpt-4.1-2025-04-14,detailed,11,10,31.0,23.0,8.0,7.0,8.0,1.0,7.6,5.7,20
PDDL_fixed_df,o3-mini-2025-01-31,detailed,3,9,13.0,1.0,0.0,0.0,12.0,0.0,1.5555555555555556,1.0,20
PDDL_fixed_df,o3-mini-2025-01-31,detailed,5,12,9.0,1.0,2.0,2.0,8.0,0.0,2.3333333333333335,1.0,20
PDDL_fixed_df,o3-mini-2025-01-31,detailed,7,13,8.0,2.0,8.0,7.0,6.0,1.0,5.461538461538462,1.5714285714285714,20
